3400	A-2121
65A0	1-415D
65A1	0-3036
65A3	1-415E
65A4	0-3654
65A5	0-404D
65A6	1-415F
65A7	0-4960
65AB	0-5A51
65AC	0-3B42
65AD	0-4347
65AE	1-4160
65AF	0-3B5B
65B0	0-3F37
65B2	1-4161
65B3	1-4162
65B4	1-4163
65B5	4-2D6B
65B7	0-5A52
65B8	4-2D6C
65B9	0-4A7D
65BC	0-3177
65BD	0-3B5C
65BF	1-4164
65C1	0-5A55
65C2	1-4165
65C3	0-5A53
65C4	0-5A56
65C5	0-4E39
65C6	0-5A54
65C8	1-4166
65C9	1-4167
65CB	0-407B
65CC	0-5A57
65CE	1-4168
65CF	0-4232
65D0	1-4169
65D2	0-5A58
65D4	1-416A
65D6	1-416B
65D7	0-347A
65D8	1-416C
65D9	0-5A5A
65DB	0-5A59
65DF	1-416D
65E0	0-5A5B
65E1	0-5A5C
65E2	0-347B
65E5	0-467C
65E6	0-4336
65E7	0-356C
65E8	0-3B5D
65E9	0-4161
65EC	0-3D5C
65ED	0-3030
65F0	1-416E
65F1	0-5A5D
65F2	1-416F
65F4	1-4170
65F5	1-4171
65F9	1-4172
65FA	0-3222
65FB	0-5A61
65FC	4-2D74
65FE	1-4173
65FF	1-4174
6600	1-4175
6602	0-3937
6603	0-5A60
6604	1-4176
6606	0-3A2B
6607	0-3E3A
6608	1-4177
6609	1-4178
660A	0-5A5F
660C	0-3E3B
660D	1-4179
660E	0-4C40
660F	0-3A2A
6611	1-417A
6612	1-417B
6613	0-3057
6614	0-404E
6615	1-417C
6616	1-417D
661C	0-5A66
661D	1-417E
661E	1-4221
661F	0-4031
6620	0-3147
6621	1-4222
6622	1-4223
6623	1-4224
6624	1-4225
6625	0-3D55
6626	1-4226
6627	0-4B66
6628	0-3A72
6629	1-4227
662A	1-4228
662B	1-4229
662C	1-422A
662D	0-3E3C
662E	1-422B
662F	0-4027
6630	1-422C
6631	1-422D
6633	1-422E
6634	0-5A65
6635	0-5A63
6636	0-5A64
6637	1-4230
6639	1-422F
663A	3-7530
663C	0-436B
663F	0-5B26
6640	1-4231
6641	0-5A6A
6642	0-3B7E
6643	0-3938
6644	0-5A68
6645	1-4232
6646	1-4233
6648	3-7538
6649	0-5A69
664A	1-4234
664B	0-3F38
664C	1-4235
664E	1-4237
664F	0-5A67
6651	1-4236
6652	0-3B2F
6657	1-4238
6658	1-4239
6659	1-423A
665A	3-753C
665B	1-423B
665C	1-423C
665D	0-5A6C
665E	0-5A6B
665F	0-5A70
6660	1-423D
6661	1-423E
6662	0-5A71
6663	4-2E22
6664	0-5A6D
6665	3-753E
6666	0-3322
6667	0-5A6E
6668	0-5A6F
6669	0-4855
666A	1-4240
666B	1-4241
666C	1-4242
666D	4-2E28
666E	0-4961
666F	0-374A
6670	0-5A72
6673	1-4244
6674	0-4032
6675	1-4245
6676	0-3E3D
6677	1-4247
6678	1-4248
6679	1-4249
667A	0-4352
667B	1-424A
667C	1-424C
667E	1-4243
667F	1-4246
6680	1-424B
6681	0-3647
6683	0-5A73
6684	0-5A77
6687	0-324B
6688	0-5A74
6689	0-5A76
668B	1-424D
668C	1-424E
668D	1-424F
668E	0-5A75
6690	1-4250
6691	0-3D6B
6692	1-4251
6696	0-4348
6697	0-3045
6698	0-5A78
6699	1-4252
669A	1-4253
669B	1-4254
669C	1-4255
669D	0-5A79
669F	1-4256
66A0	1-4257
66A2	0-442A
66A4	1-4258
66A6	0-4E71
66AB	0-3B43
66AD	1-4259
66AE	0-4A6B
66B1	1-425A
66B2	1-425B
66B4	0-4B3D
66B5	1-425C
66B8	0-5B22
66B9	0-5A7B
66BB	1-425D
66BC	0-5A7E
66BE	0-5A7D
66BF	1-425E
66C0	1-425F
66C1	0-5A7A
66C2	1-4260
66C3	1-4261
66C4	0-5B21
66C6	3-7547
66C7	0-465E
66C8	1-4262
66C9	0-5A7C
66CC	1-4263
66CE	1-4264
66CF	1-4265
66D4	1-4266
66D6	0-5B23
66D9	0-3D6C
66DA	0-5B24
66DB	1-4267
66DC	0-4D4B
66DD	0-4778
66DF	1-4268
66E0	0-5B25
66E6	0-5B27
66E8	1-4269
66E9	0-5B28
66EB	1-426A
66EC	1-426B
66EE	1-426C
66F0	0-5B29
66F2	0-364A
66F3	0-3148
66F4	0-3939
66F5	0-5B2A
66F7	0-5B2B
66F8	0-3D71
66F9	0-4162
66FA	1-426D
66FB	1-423F
66FC	0-5258
66FD	0-413E
66FE	0-413D
66FF	0-4258
6700	0-3A47
6701	4-2E37
6703	0-5072
6705	1-426E
6707	1-426F
6708	0-376E
6709	0-4D2D
670B	0-4A7E
670D	0-497E
670E	1-4270
670F	0-5B2C
6712	4-2E39
6713	1-4271
6714	0-3A73
6715	0-443F
6716	0-5B2D
6717	0-4F2F
6719	1-4272
671B	0-4B3E
671C	1-4273
671D	0-442B
671E	0-5B2E
671F	0-347C
6720	1-4274
6722	1-4275
6726	0-5B2F
6727	0-5B30
6728	0-4C5A
672A	0-4C24
672B	0-4B76
672C	0-4B5C
672D	0-3B25
672E	0-5B32
6731	0-3C6B
6733	1-4276
6734	0-4B51
6736	0-5B34
6737	0-5B37
6738	0-5B36
673A	0-3479
673D	0-3560
673E	1-4277
673F	0-5B33
6741	0-5B35
6745	1-4278
6746	0-5B38
6747	1-4279
6748	1-427A
6749	0-3F79
674C	1-427B
674D	4-2E3F
674E	0-4D7B
674F	0-3049
6750	0-3A60
6751	0-423C
6753	0-3C5D
6754	1-427C
6755	1-427D
6756	0-3E73
6759	0-5B3B
675C	0-454E
675D	1-427E
675E	0-5B39
675F	0-422B
6760	0-5B3A
6761	0-3E72
6762	0-4C5D
6763	0-5B3C
6764	0-5B3D
6765	0-4D68
6766	1-4321
676A	0-5B42
676C	1-4322
676D	0-393A
676E	1-4323
676F	0-4755
6770	0-5B3F
6771	0-456C
6772	0-5A5E
6773	0-5A62
6774	1-4324
6775	0-354F
6776	1-4325
6777	0-4747
677B	1-4326
677C	0-5B41
677E	0-3E3E
677F	0-4844
6781	1-4327
6784	1-4328
6785	0-5B47
6787	0-487A
6789	0-5B3E
678B	0-5B44
678C	0-5B43
678E	1-4329
678F	1-432A
6790	0-404F
6791	1-432B
6792	4-2E48
6793	1-432C
6795	0-4B6D
6796	1-432D
6797	0-4E53
6798	1-432E
6799	1-432F
679A	0-4B67
679B	1-4330
679C	0-324C
679D	0-3B5E
67A0	0-4F48
67A1	0-5B46
67A2	0-3F75
67A6	0-5B45
67A9	0-5B40
67AF	0-384F
67B0	1-4331
67B1	1-4332
67B2	1-4333
67B3	0-5B4C
67B4	0-5B4A
67B5	1-4334
67B6	0-324D
67B7	0-5B48
67B8	0-5B4E
67B9	0-5B54
67BB	1-4335
67BC	1-4336
67BD	1-4337
67C0	1-4339
67C1	0-4248
67C2	1-433A
67C3	1-433B
67C4	0-4A41
67C5	1-433C
67C6	0-5B56
67C8	1-433D
67C9	1-433E
67CA	0-4922
67CE	0-5B55
67CF	0-4770
67D0	0-4B3F
67D1	0-343B
67D2	1-433F
67D3	0-4077
67D4	0-3D40
67D7	1-4340
67D8	0-4453
67D9	1-4341
67DA	0-4D2E
67DB	4-2E52
67DC	1-4342
67DD	0-5B51
67DE	0-5B50
67E1	1-4343
67E2	0-5B52
67E4	0-5B4F
67E6	1-4344
67E7	0-5B57
67E9	0-5B4D
67EC	0-5B4B
67EE	0-5B53
67EF	0-5B49
67F0	1-4345
67F1	0-436C
67F2	1-4346
67F3	0-4C78
67F4	0-3C46
67F5	0-3A74
67F6	1-4347
67F7	1-4348
67F9	1-4338
67FB	0-3A3A
67FC	3-755C
67FE	0-4B6F
67FF	0-3341
6801	3-755D
6802	0-444E
6803	0-464A
6804	0-3149
6810	4-2E4B
6813	0-4072
6814	1-434A
6816	0-4034
6817	0-372A
6818	4-2E58
6819	1-434B
681D	1-434C
681E	0-5B59
681F	1-434D
6821	0-393B
6822	0-337C
6827	1-434F
6828	1-434E
6829	0-5B5B
682A	0-3374
682B	0-5B61
682C	1-4350
682D	1-4351
682F	1-4352
6830	1-4353
6831	1-4354
6832	0-5B5E
6833	1-4355
6834	0-4073
6838	0-334B
6839	0-3A2C
683B	1-4356
683C	0-334A
683D	0-3A4F
683E	4-2E5E
683F	1-4357
6840	0-5B5C
6841	0-3765
6842	0-374B
6843	0-456D
6844	1-4358
6845	1-4359
6846	0-5B5A
6848	0-3046
6849	4-2E61
684A	1-435A
684C	1-435B
684D	0-5B5D
684E	0-5B5F
6850	0-364D
6851	0-372C
6852	1-4349
6853	0-343C
6854	0-354B
6855	1-435C
6857	1-435D
6858	1-435E
6859	0-5B62
685B	1-435F
685C	0-3A79
685D	0-4B71
685F	0-3B37
6863	0-5B63
6867	0-4930
686B	1-4360
686E	1-4361
686F	1-4362
6870	1-4363
6871	1-4364
6872	1-4365
6874	0-5B6F
6875	1-4366
6876	0-3233
6877	0-5B64
6879	1-4367
687A	1-4368
687B	1-4369
687C	1-436A
687E	0-5B75
687F	0-5B65
6881	0-4E42
6882	1-436B
6883	0-5B6C
6884	1-436C
6885	0-475F
6886	1-436D
6888	1-436E
688D	0-5B74
688F	0-5B67
6890	4-2E6B
6893	0-3034
6894	0-5B69
6896	1-436F
6897	0-393C
6898	1-4370
6899	4-2E6F
689A	1-4371
689B	0-5B6B
689C	1-4372
689D	0-5B6A
689F	0-5B66
68A0	0-5B71
68A1	1-4373
68A2	0-3E3F
68A3	1-4374
68A5	1-4375
68A6	0-546D
68A7	0-3868
68A8	0-4D7C
68A9	1-4376
68AA	1-4377
68AB	4-2E73
68AD	0-5B68
68AE	1-4378
68AF	0-4474
68B0	0-3323
68B1	0-3A2D
68B2	1-4379
68B3	0-5B60
68B4	4-2E74
68B5	0-5B70
68B6	0-3361
68B9	0-5B6E
68BA	0-5B72
68BB	1-437A
68BC	0-456E
68C3	4-2E7A
68C4	0-347E
68C5	1-437B
68C6	0-5C32
68C8	1-437C
68C9	0-4C49
68CA	0-5B77
68CB	0-347D
68CC	1-437D
68CD	0-5B7E
68CF	1-437E
68D0	1-4421
68D1	1-4422
68D2	0-4B40
68D3	1-4423
68D4	0-5C21
68D5	0-5C23
68D6	1-4424
68D7	0-5C27
68D8	0-5B79
68D9	1-4425
68DA	0-432A
68DC	1-4426
68DD	1-4427
68DF	0-456F
68E0	0-5C2B
68E1	0-5B7C
68E3	0-5C28
68E4	4-2F22
68E5	1-4428
68E7	0-5C22
68E8	1-4429
68EA	1-442A
68EB	1-442B
68EC	1-442C
68ED	1-442D
68EE	0-3F39
68EF	0-5C2C
68F0	1-442E
68F1	1-442F
68F2	0-4033
68F5	1-4430
68F6	1-4431
68F7	4-2F25
68F9	0-5C2A
68FA	0-343D
68FB	1-4432
68FC	1-4433
68FD	1-4434
6900	0-4F50
6901	0-5B76
6903	4-2F26
6904	0-5C26
6905	0-3058
6906	1-4435
6907	4-2F27
6908	0-5B78
6909	1-4436
690A	1-4437
690B	0-4C3A
690C	0-5B7D
690D	0-3F22
690E	0-4447
690F	0-5B73
6910	1-4438
6911	1-4439
6912	0-5C25
6913	1-443A
6916	1-443B
6917	1-443C
6919	0-3F7A
691A	0-5C2F
691B	0-3371
691C	0-3821
6921	0-5C31
6922	0-5B7A
6923	0-5C30
6925	0-5C29
6926	0-5B7B
6928	0-5C2D
692A	0-5C2E
6930	0-5C3F
6931	1-443D
6933	1-443E
6934	0-464E
6935	1-443F
6936	0-5C24
6938	1-4440
6939	0-5C3B
693B	1-4441
693D	0-5C3D
693F	0-4458
6942	1-4442
6945	1-4443
6946	4-2F2D
6949	1-4444
694A	0-4D4C
694E	1-4445
6953	0-4976
6954	0-5C38
6955	0-424A
6957	1-4446
6959	0-5C3E
695A	0-413F
695B	1-4447
695C	0-5C35
695D	0-5C42
695E	0-5C41
6960	0-466F
6961	0-5C40
6962	0-466A
6963	1-4448
6964	1-4449
6965	1-444A
6966	1-444B
6968	1-444C
6969	1-444D
696A	0-5C44
696B	0-5C37
696C	1-444E
696D	0-3648
696E	0-5C3A
696F	0-3D5D
6970	1-444F
6971	1-4450
6972	1-4451
6973	0-4760
6974	0-5C3C
6975	0-364B
6977	0-5C34
6978	0-5C36
6979	0-5C33
697A	1-4452
697B	1-4453
697C	0-4F30
697D	0-335A
697E	0-5C39
697F	1-4454
6980	1-4455
6981	0-5C43
6982	0-3335
698A	0-3A67
698D	1-4456
698E	0-315D
6991	0-5C54
6992	1-4457
6994	0-4F31
6995	0-5C57
6996	1-4458
6998	1-4459
699B	0-3F3A
699C	0-5C56
69A0	0-5C55
69A1	1-445A
69A5	1-445B
69A6	1-445C
69A7	0-5C52
69A8	1-445D
69AB	1-445E
69AD	1-445F
69AE	0-5C46
69AF	1-4460
69B0	4-2F38
69B1	0-5C63
69B2	0-5C45
69B4	0-5C58
69B7	1-4461
69B8	1-4462
69BA	1-4463
69BB	0-5C50
69BC	1-4464
69BE	0-5C4B
69BF	0-5C48
69C0	4-2F3C
69C1	0-5C49
69C3	0-5C51
69C5	1-4465
69C7	0-7422
69C8	1-4466
69CA	0-5C4E
69CB	0-393D
69CC	0-4448
69CD	0-4164
69CE	0-5C4C
69CF	3-757D
69D0	0-5C47
69D1	1-4467
69D3	0-5C4A
69D6	1-4468
69D7	1-4469
69D8	0-4D4D
69D9	0-4B6A
69DD	0-5C4F
69DE	0-5C59
69E2	1-446A
69E3	4-2F44
69E5	1-446B
69E7	0-5C61
69E8	0-5C5A
69E9	3-7623
69EA	3-7624
69EB	0-5C67
69ED	0-5C65
69EE	1-446C
69EF	1-446D
69F1	1-446E
69F2	0-5C60
69F3	1-446F
69F4	4-2F49
69F5	1-4470
69F6	3-7626
69F9	0-5C5F
69FB	0-4450
69FD	0-4165
69FE	1-4471
69FF	0-5C5D
6A00	1-4472
6A01	1-4473
6A02	0-5C5B
6A03	1-4474
6A05	0-5C62
6A0A	0-5C68
6A0B	0-4875
6A0C	0-5C6E
6A0F	1-4475
6A11	1-4476
6A12	0-5C69
6A13	0-5C6C
6A14	0-5C66
6A15	1-4477
6A17	0-4374
6A19	0-4938
6A1A	1-4478
6A1B	0-5C5C
6A1D	1-4479
6A1E	0-5C64
6A1F	0-3E40
6A20	1-447A
6A21	0-4C4F
6A22	0-5C78
6A23	0-5C6B
6A24	1-447B
6A28	1-447C
6A29	0-3822
6A2A	0-3223
6A2B	0-335F
6A2E	0-5C53
6A30	1-447D
6A32	1-447E
6A33	4-2F50
6A34	1-4521
6A35	0-3E41
6A36	0-5C70
6A37	1-4522
6A38	0-5C77
6A39	0-3C79
6A3A	0-3372
6A3B	1-4523
6A3D	0-432E
6A3E	1-4524
6A3F	1-4525
6A44	0-5C6D
6A45	1-4526
6A46	1-4527
6A47	0-5C72
6A48	0-5C76
6A49	1-4528
6A4A	1-4529
6A4B	0-3636
6A4E	1-452A
6A50	1-452B
6A51	1-452C
6A52	1-452D
6A55	1-452E
6A56	1-452F
6A58	0-354C
6A59	0-5C74
6A5B	1-4530
6A5F	0-3521
6A61	0-464B
6A62	0-5C73
6A64	1-4531
6A66	0-5C75
6A67	1-4532
6A6A	1-4533
6A6B	3-7630
6A71	1-4534
6A72	0-5C6F
6A73	1-4535
6A78	0-5C71
6A7A	4-2F55
6A7E	1-4536
6A7F	0-3360
6A80	0-4349
6A81	1-4537
6A83	1-4538
6A84	0-5C7C
6A86	1-4539
6A87	1-453A
6A89	1-453B
6A8B	1-453C
6A8D	0-5C7A
6A8E	0-3869
6A90	0-5C79
6A91	1-453D
6A94	3-7634
6A97	0-5D21
6A9B	1-453E
6A9C	0-5B58
6A9D	1-453F
6A9E	1-4540
6A9F	1-4541
6AA0	0-5C7B
6AA1	4-2F60
6AA2	0-5C7D
6AA3	0-5C7E
6AA5	1-4542
6AAA	0-5D2C
6AAB	1-4543
6AAC	0-5D28
6AAE	0-5B6D
6AAF	1-4544
6AB0	1-4545
6AB1	1-4546
6AB3	0-5D27
6AB4	1-4547
6AB8	0-5D26
6ABB	0-5D23
6ABD	1-4548
6ABE	1-4549
6ABF	1-454A
6AC1	0-5C6A
6AC2	0-5D25
6AC3	0-5D24
6AC6	1-454B
6AC8	1-454D
6AC9	1-454C
6ACC	1-454E
6AD0	1-454F
6AD1	0-5D2A
6AD3	0-4F26
6AD4	1-4550
6AD5	1-4551
6AD6	1-4552
6ADA	0-5D2D
6ADB	0-367B
6ADC	1-4553
6ADD	1-4554
6ADE	0-5D29
6ADF	0-5D2B
6AE4	1-4555
6AE7	1-4556
6AE8	0-4827
6AEA	0-5D2E
6AEC	1-4557
6AF0	1-4558
6AF1	1-4559
6AF2	1-455A
6AF3	4-2F6E
6AFA	0-5D32
6AFB	0-5D2F
6AFC	1-455B
6AFD	1-455C
6B02	1-455D
6B03	1-455E
6B04	0-4D73
6B05	0-5D30
6B06	1-455F
6B07	1-4560
6B09	1-4561
6B0A	0-5C5E
6B0B	4-2F71
6B0F	1-4562
6B10	1-4563
6B11	1-4564
6B12	0-5D33
6B16	0-5D34
6B17	1-4565
6B1B	1-4566
6B1D	0-3135
6B1E	1-4567
6B1F	0-5D36
6B20	0-3767
6B21	0-3C21
6B23	0-3655
6B24	1-4568
6B27	0-3224
6B28	1-4569
6B2B	1-456A
6B2C	1-456B
6B2F	1-456C
6B32	0-4D5F
6B35	1-456D
6B36	1-456E
6B37	0-5D38
6B38	0-5D37
6B39	0-5D3A
6B3A	0-353D
6B3B	1-456F
6B3D	0-3656
6B3E	0-343E
6B3F	1-4570
6B43	0-5D3D
6B46	1-4571
6B47	0-5D3C
6B49	0-5D3E
6B4A	1-4572
6B4C	0-324E
6B4D	1-4573
6B4E	0-4337
6B50	0-5D3F
6B52	1-4574
6B53	0-343F
6B54	0-5D41
6B56	1-4575
6B58	1-4576
6B59	0-5D40
6B5B	0-5D42
6B5D	1-4577
6B5F	0-5D43
6B60	1-4578
6B61	0-5D44
6B62	0-3B5F
6B63	0-4035
6B64	0-3A21
6B65	3-7643
6B66	0-4970
6B67	1-4579
6B69	0-4A62
6B6A	0-4F44
6B6B	1-457A
6B6C	4-2F7B
6B6E	1-457B
6B6F	0-3B75
6B70	1-457C
6B73	0-3A50
6B74	0-4E72
6B75	1-457D
6B77	3-7645
6B78	0-5D45
6B79	0-5D46
6B7A	4-2F7D
6B7B	0-3B60
6B7D	1-457E
6B7E	1-4621
6B7F	0-5D47
6B80	0-5D48
6B81	4-2F7E
6B82	1-4622
6B83	0-5D4A
6B84	0-5D49
6B85	1-4623
6B86	0-4B58
6B89	0-3D5E
6B8A	0-3C6C
6B8B	0-3B44
6B8D	0-5D4B
6B95	0-5D4D
6B96	0-3F23
6B97	1-4624
6B98	0-5D4C
6B9B	1-4625
6B9E	0-5D4E
6B9F	1-4626
6BA0	1-4627
6BA2	1-4628
6BA3	1-4629
6BA4	0-5D4F
6BA8	1-462A
6BA9	1-462B
6BAA	0-5D50
6BAB	0-5D51
6BAC	1-462C
6BAD	1-462D
6BAE	1-462E
6BAF	0-5D52
6BB0	1-462F
6BB1	0-5D54
6BB2	0-5D53
6BB3	0-5D55
6BB4	0-3225
6BB5	0-434A
6BB7	0-5D56
6BB8	1-4630
6BB9	1-4631
6BBA	0-3B26
6BBB	0-334C
6BBC	0-5D57
6BBD	1-4632
6BBE	1-4633
6BBF	0-4542
6BC0	0-544C
6BC3	1-4634
6BC4	1-4635
6BC5	0-3523
6BC6	0-5D58
6BC7	4-6E26
6BC8	4-6E27
6BC9	1-4636
6BCB	0-5D59
6BCC	1-4637
6BCD	0-4A6C
6BCE	0-4B68
6BCF	3-764A
6BD2	0-4647
6BD3	0-5D5A
6BD4	0-4866
6BD6	1-4638
6BD7	3-764C
6BD8	0-487B
6BDA	1-4639
6BDB	0-4C53
6BDF	0-5D5B
6BE1	1-463A
6BE3	1-463B
6BE6	1-463C
6BE7	1-463D
6BEB	0-5D5D
6BEC	0-5D5C
6BEE	1-463E
6BEF	0-5D5F
6BF1	1-463F
6BF3	0-5D5E
6BF7	1-4640
6BF9	1-4641
6BFF	1-4642
6C02	1-4643
6C04	1-4644
6C05	1-4645
6C08	0-5D61
6C09	1-4646
6C0A	4-6E2F
6C0D	1-4647
6C0E	1-4648
6C0F	0-3B61
6C10	1-4649
6C11	0-4C31
6C12	1-464A
6C13	0-5D62
6C14	0-5D63
6C17	0-3524
6C19	1-464B
6C1B	0-5D64
6C1F	1-464C
6C23	0-5D66
6C24	0-5D65
6C26	1-464D
6C27	1-464E
6C28	1-464F
6C2C	1-4650
6C2E	1-4651
6C33	1-4652
6C34	0-3F65
6C35	1-4653
6C36	1-4654
6C37	0-4939
6C38	0-314A
6C3A	1-4655
6C3B	1-4656
6C3E	0-4845
6C3F	1-4657
6C40	0-4475
6C41	0-3D41
6C42	0-3561
6C4A	1-4658
6C4B	1-4659
6C4D	1-465A
6C4E	0-4846
6C4F	1-465B
6C50	0-3C2E
6C52	1-465C
6C54	1-465D
6C55	0-5D68
6C57	0-3440
6C59	1-465E
6C5A	0-3178
6C5B	1-465F
6C5C	1-4660
6C5D	0-4672
6C5E	0-5D67
6C5F	0-393E
6C60	0-4353
6C62	0-5D69
6C67	1-4736
6C68	0-5D71
6C6A	0-5D6A
6C6B	1-4661
6C6D	1-4662
6C6F	1-4663
6C70	0-4241
6C72	0-3562
6C73	0-5D72
6C74	1-4664
6C76	1-4665
6C78	1-4666
6C79	1-4667
6C7A	0-3768
6C7B	1-4668
6C7D	0-3525
6C7E	0-5D70
6C81	0-5D6E
6C82	0-5D6B
6C83	0-4D60
6C84	4-6E39
6C85	1-4669
6C86	1-466A
6C87	1-466B
6C88	0-4440
6C89	1-466C
6C8C	0-4659
6C8D	0-5D6C
6C90	0-5D74
6C92	0-5D73
6C93	0-3723
6C94	1-466D
6C95	1-466E
6C96	0-322D
6C97	1-466F
6C98	1-4670
6C99	0-3A3B
6C9A	0-5D6D
6C9B	0-5D6F
6C9C	1-4671
6C9F	1-4672
6CA1	0-4B57
6CA2	0-4274
6CAA	3-7653
6CAB	0-4B77
6CAD	4-6E3F
6CAE	0-5D7C
6CB0	1-4673
6CB1	0-5D7D
6CB2	1-4674
6CB3	0-324F
6CB4	1-4675
6CB8	0-4A28
6CB9	0-4C7D
6CBA	0-5E21
6CBB	0-3C23
6CBC	0-3E42
6CBD	0-5D78
6CBE	0-5D7E
6CBF	0-3168
6CC1	0-3637
6CC2	1-4676
6CC4	0-5D75
6CC5	0-5D7A
6CC6	1-4677
6CC9	0-4074
6CCA	0-4771
6CCC	0-4867
6CCD	1-4678
6CCF	1-4679
6CD0	1-467A
6CD1	1-467B
6CD2	1-467C
6CD3	0-5D77
6CD4	1-467D
6CD5	0-4B21
6CD6	1-467E
6CD7	0-5D79
6CD9	0-5E24
6CDA	1-4721
6CDB	0-5E22
6CDC	1-4722
6CDD	0-5D7B
6CE0	1-4723
6CE1	0-4B22
6CE2	0-4748
6CE3	0-3563
6CE5	0-4525
6CE7	1-4724
6CE8	0-436D
6CE9	1-4725
6CEA	0-5E25
6CEB	1-4726
6CEC	1-4727
6CED	4-6E48
6CEE	1-4728
6CEF	0-5E23
6CF0	0-4259
6CF1	0-5D76
6CF2	1-4729
6CF3	0-314B
6CF4	1-472A
6CFB	3-765A
6D00	4-6E4A
6D04	1-472B
6D07	1-472C
6D0A	1-472D
6D0B	0-4D4E
6D0C	0-5E30
6D0E	1-472E
6D0F	1-472F
6D11	1-4730
6D12	0-5E2F
6D13	1-4731
6D17	0-4076
6D19	0-5E2C
6D1A	1-4732
6D1B	0-4D6C
6D1E	0-4636
6D1F	0-5E26
6D24	4-6E4C
6D25	0-4445
6D26	1-4733
6D27	1-4734
6D28	1-4735
6D29	0-314C
6D2A	0-393F
6D2B	0-5E29
6D2E	1-4737
6D2F	1-4738
6D31	1-4739
6D32	0-3D27
6D33	0-5E2E
6D34	4-6E65
6D35	0-5E2D
6D36	0-5E28
6D38	0-5E2B
6D39	1-473A
6D3B	0-3368
6D3C	1-473B
6D3D	0-5E2A
6D3E	0-4749
6D3F	1-473C
6D41	0-4E2E
6D44	0-3E74
6D45	0-4075
6D57	1-473D
6D58	3-7667
6D59	0-5E36
6D5A	0-5E34
6D5B	4-6E52
6D5C	0-494D
6D5E	1-473E
6D5F	1-473F
6D60	4-6E54
6D61	1-4740
6D63	0-5E31
6D64	0-5E33
6D65	1-4741
6D66	0-313A
6D67	1-4742
6D69	0-3940
6D6A	0-4F32
6D6C	0-333D
6D6E	0-4962
6D6F	1-4743
6D70	1-4744
6D74	0-4D61
6D77	0-3324
6D78	0-3F3B
6D79	0-5E35
6D7C	1-4745
6D80	4-6E56
6D81	4-6E57
6D82	1-4746
6D85	0-5E3A
6D87	1-4747
6D88	0-3E43
6D89	3-766C
6D8A	4-6E58
6D8C	0-4D30
6D8D	4-6E59
6D8E	0-5E37
6D91	1-4748
6D92	1-4749
6D93	0-5E32
6D94	1-474A
6D95	0-5E38
6D96	1-474B
6D97	1-474C
6D98	1-474D
6D99	0-4E5E
6D9B	0-4573
6D9C	0-4642
6DAA	1-474E
6DAB	4-6E61
6DAC	1-474F
6DAE	4-6E62
6DAF	0-3336
6DB2	0-3155
6DB4	1-4750
6DB5	0-5E3E
6DB7	1-4751
6DB8	0-5E41
6DB9	1-4752
6DBC	0-4E43
6DBD	1-4753
6DBF	1-4754
6DC0	0-4D64
6DC2	4-6E64
6DC4	1-4755
6DC5	0-5E48
6DC6	0-5E42
6DC7	0-5E3F
6DC8	1-4756
6DCA	1-4757
6DCB	0-4E54
6DCC	0-5E45
6DCE	1-4758
6DCF	1-4759
6DD0	4-6E69
6DD1	0-3D4A
6DD2	0-5E47
6DD5	0-5E4C
6DD6	1-475A
6DD8	0-4571
6DD9	0-5E4A
6DDA	3-7673
6DDB	1-475B
6DDD	1-475C
6DDE	0-5E44
6DDF	1-475D
6DE0	1-475E
6DE1	0-4338
6DE2	1-475F
6DE4	0-5E4B
6DE5	1-4760
6DE6	0-5E40
6DE8	0-5E46
6DE9	1-4761
6DEA	0-5E4D
6DEB	0-307C
6DEC	0-5E43
6DEE	0-5E4E
6DEF	1-4762
6DF0	1-4763
6DF1	0-3F3C
6DF3	0-3D5F
6DF4	1-4764
6DF5	0-4A25
6DF6	1-4765
6DF7	0-3A2E
6DF9	0-5E3B
6DFA	0-5E49
6DFB	0-453A
6DFC	1-4766
6E00	1-4767
6E04	1-4768
6E05	0-4036
6E07	0-3369
6E08	0-3A51
6E09	0-3E44
6E0A	0-5E3D
6E0B	0-3D42
6E13	0-374C
6E15	0-5E3C
6E17	4-6E5D
6E19	0-5E52
6E1A	0-3D6D
6E1B	0-383A
6E1D	0-5E61
6E1E	1-4769
6E1F	0-5E5B
6E20	0-3574
6E21	0-454F
6E22	1-476A
6E23	0-5E56
6E24	0-5E5F
6E25	0-302F
6E26	0-3132
6E27	1-476B
6E29	0-3239
6E2B	0-5E58
6E2C	0-422C
6E2D	0-5E4F
6E2E	0-5E51
6E2F	0-3941
6E32	1-476C
6E34	3-7678
6E36	1-476D
6E38	0-5E62
6E39	1-476E
6E3A	0-5E5D
6E3B	1-476F
6E3C	1-4770
6E3E	0-5E55
6E43	0-5E5C
6E44	1-4771
6E45	1-4772
6E48	1-4773
6E49	1-4774
6E4A	0-4C2B
6E4B	1-4775
6E4C	4-6E77
6E4D	0-5E5A
6E4E	0-5E5E
6E4F	1-4776
6E51	1-4777
6E52	1-4778
6E53	1-4779
6E54	1-477A
6E56	0-3850
6E57	1-477B
6E58	0-3E45
6E5B	0-4339
6E5C	1-477C
6E5D	1-477D
6E5E	1-477E
6E5F	0-5E54
6E62	1-4821
6E63	1-4822
6E67	0-4D2F
6E68	1-4823
6E6B	0-5E57
6E6E	0-5E50
6E6F	0-4572
6E72	0-5E53
6E73	1-4824
6E76	0-5E59
6E7B	1-4825
6E7D	1-4826
